SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
terra;2;465.742398799;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697,899.753104609;0.000201932258148,-0.111443019085,0.659890349614,0.46587976711,-0.00546194442555,-0.000200746556772,-0.0268479302019,0.0773602369946,-0.0685882188935,0.0123271607302,0.0099027612734,-0.0618431207589,0.0719993487311,0.0167038011135,-0.119568244875,0.0810239866654;-1770.65882818;4.14075985464e-08
terra;2;465.742398799;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;0.000643409825102,0.505128949009,0.590676867174,-0.108320404981,0.0126106438955,-0.00340444441282,0.0272382424579,-0.104340215903,0.274586405704,-0.18856186213,0.001692928463,-0.00578533490656,0.00844682938019,-0.00687899028401;-1516.46561317;3.26689482134e-07
terra;2;465.742398799;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.000664162676017,1.01090077931,0.012774144184,0.000140435619191,-0.00521724233123;-1432.5511458;7.38281998033e-07
terra;3;553.736229817;aqua;2,3,0;466.07150204,553.917076647,645.8403499;1.27135595561e-05,0.000919181904872,1.00056378034,-0.00160568137446;-2444.70397904;2.2834519014e-10
terra;3;553.736229817;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697,899.753104609;-2.22300022642e-05,-0.0326516934142,0.117562007219,-0.27328541828,0.269442334833,0.975163902624,-0.105756827314,0.059853475433,-0.0201732480145,0.00287718907572,0.00956426866852,0.0435930707339,-0.0679107893837,0.0360436865677,0.027784294399,-0.046026785163;-1768.3740608;4.21714116636e-08
terra;3;553.736229817;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666;9.80320088206e-05,-0.0243328820644,0.0587508315958,1.02392165525,-0.0677226070962,-0.0102405082398,0.022295318882,-0.01639625583,-0.0110442956814,0.0258085294675,-0.0128097581093,0.00735936444492,-0.00287980746581;-1518.18238814;3.27430534459e-07
terra;3;553.736229817;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;-0.0012540319861,0.773721893816,0.289202434137,0.101609122163,-0.0406702638468;-780.822363203;0.000135693795629
terra;4;1242.16286011;aqua;2,3,0,1,4;466.07150204,553.917076647,645.8403499,856.877853417,1241.49758039;0.00020857677297,0.00122249485854,-0.00102866025956,-0.000660027827711,-0.00025462534914,1.00072765243;-2064.53657449;4.62947019681e-09
terra;4;1242.16286011;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697;0.0169378536777,1.2953602137,-1.87868070965,0.618602595386,0.635605255928,-1.09876795037,0.201482000324,-0.723054189249,0.853145462571,0.310048627281,2.20055324446,-2.23986596009,5.15952933313,-40.0991019501,35.8721406831;-679.698429429;0.000259664993782
terra;4;1242.16286011;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;0.025406632343,-0.0297577419996,0.155746037319,-0.198327212609,-0.129676993858,0.0225448057819,0.124766383854,3.26581468216,-7.54009406316,3.46256354477,1.32604492961,-0.0207021042376,0.774322989827,-0.313327149973;-840.111349066;7.3119051677e-05
terra;4;1242.16286011;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.019191693783,-0.140360038182,-0.205143123934,0.509649815296,0.707347949895;-620.915268372;0.000487679097866
terra;5;1629.40788053;aqua;2,3,0,1,4,5,6;466.07150204,553.917076647,645.8403499,856.877853417,1241.49758039,1628.08776832,2113.99922695;0.000129079876116,-0.000432300221966,0.000782885875613,-0.00143634772899,0.000262810763324,4.50574636213e-05,1.00221720882,-0.00177141166644;-2018.0415355;6.50390486625e-09
